stories_id,publish_date,title,url,language,ap_syndicated,themes,media_id,media_name,media_url,css
1921569086,2021-05-04T20:26:47Z,"Chauvin's lawyer seeks new trial, hearing to impeach verdict",https://www.chron.com/news/houston-texas/article/Chauvin-lawyer-seeks-new-trial-george-floyd-16151884.php,en,TRUE,"blacks, police, decisions and verdicts, crime and criminals, murders and attempted murders",10,houstonchronicle,http://www.chron.com/,.article--content
1922357577,2021-05-05T13:15:30Z,Justin Bieber's dreadlocks spark debate: What's cultural appropriation versus appreciation?,http://rssfeeds.usatoday.com/~/650939160/0/toppeople~Justin-Biebers-dreadlocks-spark-debate-Whats-cultural-appropriation-versus-appreciation/,en,FALSE,NA,4,USA Today,http://www.usatoday.com,.gnt_ar_b_p
1922891211,2021-05-05T14:01:24Z,Tennessee State Senate Unanimously Votes To End Natural Hair Discrimination,https://www.refinery29.com/en-us/2021/05/10459826/tennessee-natural-hair-discrimination-crown-act?utm_source=feed&utm_medium=rss,en,FALSE,"politics and government, law and legislation, suits and litigation, blacks, discrimination",104698,Refinery29,http://www.refinery29.com,p
1925469043,2021-05-08T15:40:05Z,St. Louis bans discrimination based on hairstyles,https://www.sfgate.com/news/article/St-Louis-bans-discrimination-based-on-hairstyles-16162384.php,en,TRUE,"politics and government, law and legislation, blacks, discrimination",14,SF Chronicle,http://www.sfgate.com/,p
1926714508,2021-05-10T06:50:27Z,"John Oliver: Hey, White People, Leave Black Hair Alone",https://www.huffpost.com/entry/john-oliver-black-hair_n_6098f73de4b05fb33f4ef2a6,en,FALSE,"blacks, discrimination",27502,HuffPost,http://www.huffingtonpost.com/#,.js-entry-content
1926961338,2021-05-10T11:48:32Z,John Oliver Tells Fellow White People What to Know About Black Hair,https://slate.com/culture/2021/05/john-oliver-black-hair-last-week-tonight-video.html?via=rss,en,FALSE,blacks,19643,Slate.com,http://www.slate.com,.article__content
1927071382,2021-05-10T09:33:04Z,John Oliver Recruited Leslie Jones To Deliver A Forthright PSA About Black Hair,https://uproxx.com/tv/john-oliver-black-hair-leslie-jones/,en,FALSE,"politics and government, blacks",68816,uproxx.com,http://www.uproxx.com/#spider,p
1927485041,2021-05-10T14:00:00Z,John Oliver Tackles the Importance of Black Hair on Last Week Tonight—And He Does a Surprisingly Decent Job,https://thegrapevine.theroot.com/john-oliver-tackles-the-importance-of-black-hair-on-las-1846860968,en,FALSE,"labor, blacks, discrimination",368082,theroot.com,http://theroot.com/,.js_post-content
1928478133,2021-05-11T17:09:28Z,These 5 Easy Summer Hairstyles Are Trending in L.A. & NYC,https://www.refinery29.com/en-us/summer-hairstyle-trends?utm_source=feed&utm_medium=rss,en,FALSE,apparel,104698,Refinery29,http://www.refinery29.com,p
1931791718,2021-05-14T21:38:33Z,A Black softball player says she was forced to cut off her hair beads at a game. Her family wants to change the rule they say is discriminatory,http://rss.cnn.com/~r/rss/cnn_latest/~3/VbBohPbylZo/index.html,en,FALSE,"baseball, basketball",1095,CNN,http://www.cnn.com/,#body-text .l-container
1937165951,2021-05-20T13:13:52Z,Legislation banning hair bias gains momentum in more states as schools and sports leagues face backlash for policies,http://rss.cnn.com/~r/rss/cnn_latest/~3/W0G86h7MTRw/index.html,en,FALSE,"education and schools, politics and government, law and legislation, women, discrimination",1095,CNN,http://www.cnn.com/,#body-text .l-container
1953095066,2020-11-01T12:00:00Z,Oakland salon created as a sanctuary for Black women and their hair,https://www.sfchronicle.com/culture/article/Oakland-salon-created-as-a-sanctuary-for-Black-15689846.php,en,FALSE,women,14,SF Chronicle,http://www.sfgate.com/,p
1957397189,2021-06-10T16:30:00Z,"Dove and the CROWN Coalition’s Latest Collaboration Is a Love Letter to Black Hair, Black Beauty and Nina Simone",https://www.theroot.com/dove-and-the-crown-coalition-s-latest-collaboration-is-1847074252,en,FALSE,"recordings (audio), women",368082,theroot.com,http://theroot.com/,.js_post-content
1965175826,2021-06-18T09:15:04Z,Best summer hair trends: Local stylists recommend these looks to beat the Phoenix heat,http://rssfeeds.azcentral.com/~/655027202/0/phoenix/thingstodo~Best-summer-hair-trends-Local-stylists-recommend-these-looks-to-beat-the-Phoenix-heat/,en,FALSE,NA,25128,AZCentral,http://www.azcentral.com,p
NA,NA,NA,NA,NA,NA,NA,NA,90min.com,NA,p
NA,NA,NA,NA,NA,NA,NA,NA,Atlantic,NA,.ArticleParagraph_root__2QM08
NA,NA,NA,NA,NA,NA,NA,NA,bgr.com,NA,.entry-content
NA,NA,NA,NA,NA,NA,NA,NA,Blaze,NA,#rev-less-wrapper
NA,NA,NA,NA,NA,NA,NA,NA,blogs.indystar.com,NA,.gnt_ar_b_p
NA,NA,NA,NA,NA,NA,NA,NA,Bloomberg,NA,p
NA,NA,NA,NA,NA,NA,NA,NA,Breitbart,NA,.entry-content
NA,NA,NA,NA,NA,NA,NA,NA,Buzzfeed,NA,p
NA,NA,NA,NA,NA,NA,NA,NA,buzzfeednews.com,NA,p
NA,NA,NA,NA,NA,NA,NA,NA,Chicago Tribune,NA,p
NA,NA,NA,NA,NA,NA,NA,NA,CNBC,NA,.group
NA,NA,NA,NA,NA,NA,NA,NA,comicbook.com,NA,#section0
NA,NA,NA,NA,NA,NA,NA,NA,Daily Beast,NA,p
NA,NA,NA,NA,NA,NA,NA,NA,Daily Caller,NA,#ob-read-more-selector
NA,NA,NA,NA,NA,NA,NA,NA,Daily Mail,NA,.mol-para-with-font
